sample_id,mgs_class,mgs_grade,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15
120,0,MGS1,-0.70515376,-0.4909223,1.2687141,-0.8606053,1.1292256,0.49720642,-0.124589846,-1.0956846,-0.052153595,-0.7157117,-0.3254156,-0.91245395,0.008765969,-0.5261398,-0.7323878,-0.7082665
121,2,MGS3,0.4783942,1.1627516,0.7360604,-0.51274383,0.4697573,0.76003444,0.13924874,-0.7983162,1.5638193,-0.05115355,0.5115155,-0.746911,-0.6647327,0.17709692,-1.2529994,-0.814888
122,1,MGS2,-0.32976404,-0.5254102,0.11052321,0.24389094,-0.30543426,-0.3141307,-0.006975213,-0.67554635,0.017247085,2.5017586,-1.9136009,0.57939,-0.09482019,-0.77117586,0.24270613,1.2052839
123,2,MGS3,0.010014461,-0.9480146,0.6230707,-1.3522744,-1.0976913,-0.082020275,-0.031232882,1.1064163,0.99289674,0.944885,0.04860243,-0.65609306,-0.18501422,-0.519994,0.44658747,-1.1280882
124,3,MGS4,1.2266632,2.1084929,-0.4789912,0.071846224,-0.38171664,0.3180092,0.14166117,-0.62466735,1.6384356,-0.6443975,-2.0747297,-0.62501806,1.2040235,1.6183715,0.42891374,0.67775065
125,3,MGS4,0.18269573,0.84661645,0.2503656,-0.68032366,0.6226404,0.10586423,0.26215994,-0.01721959,1.6494066,0.28745258,-0.26145136,-1.3064532,-0.98080516,0.104917824,0.097326994,-0.07460109
126,0,MGS1,-0.5053211,-0.181731,-0.7489578,0.83011997,1.0245049,-0.5519884,-0.428675,0.121162474,-0.12584436,0.3998862,-1.532464,-0.34982833,1.087924,0.95272046,1.218082,-1.5439609
127,1,MGS2,0.5207832,-1.6569442,1.644371,-0.033349697,1.1236049,-0.60835695,0.053458005,1.1373792,-0.08321512,-1.0438817,0.37516275,-1.1925558,-1.0523486,0.45618176,-1.6252589,-1.7888963
128,2,MGS3,-0.66585046,-0.2864025,0.2107536,-1.0004568,-0.81597054,1.3486603,1.1481332,1.0977168,0.0018437393,0.2178472,0.8284536,-0.84887767,-1.1266155,-1.179166,1.5241401,-2.4652877
129,1,MGS2,-0.38995034,-0.6433059,0.5071213,0.7652708,0.10703037,1.2597547,1.0376717,-0.21128185,-0.9957663,1.8129752,-1.0912124,0.7717747,-0.049906984,-0.04341359,0.4080344,1.3379318
130,2,MGS3,0.82607657,-1.1752057,-0.9942082,-1.1815029,-1.926363,-0.48336175,-0.23039581,1.4972795,-0.4308757,-0.008313493,-0.035621718,-1.0005101,-0.19986437,1.491289,0.19824097,-1.237544
131,2,MGS3,0.81779915,-2.18544,-0.59801424,-0.20608836,-1.5481685,0.66109926,0.9134014,1.2175875,0.06702422,-0.6748342,-0.59867954,-1.4902849,0.9368796,-1.2034918,-0.5073101,-0.7078541
