sample_id,mgs_class,mgs_grade,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15
100,1,MGS2,2.3893332,-1.3614973,-0.3349881,-0.9820745,-1.3020824,-0.27235165,1.1127478,1.405733,-1.592098,-1.5425507,1.0621989,-1.41228,0.15326655,-0.007696172,-0.91706765,-1.5268888
101,2,MGS3,1.3586459,1.3975377,0.15164383,-0.87142414,-0.18024775,-1.1544222,0.68617445,-2.1167004,-1.0077761,-0.50549823,2.2187042,-0.7435404,1.5224396,-0.90831476,0.5560005,2.0637724
102,1,MGS2,2.120251,-1.7044152,0.053366676,0.6036743,-0.9794071,-0.49496374,1.8746758,2.2123978,-1.0283962,-2.2297125,0.092710696,-1.7367913,0.8155097,0.4514134,-0.756444,-2.8608165
103,2,MGS3,0.8321338,1.980828,-0.25217834,-0.62151206,0.8393367,0.91290903,0.39515883,-0.21472506,0.95485306,1.7239498,0.68116933,0.2871419,-0.064998925,0.5141117,-0.2306507,0.68691283
104,1,MGS2,1.1859653,0.5324467,-0.21553247,-1.7236428,-1.5660195,0.24826254,2.4299371,-0.6857592,-0.80390614,-1.5354998,1.0751143,-0.88893735,1.1049836,-0.08982226,-1.2507083,-0.55698895
105,1,MGS2,0.13508596,-0.45272833,1.1136644,1.4308981,0.14197567,0.25048557,-0.4135273,-0.7617826,1.545496,0.15914215,-1.8259817,-0.39789885,0.9959342,-0.8467601,-0.40830612,0.4707255
106,3,MGS4,0.3101624,1.5593338,0.05065302,0.08040782,-0.96714157,1.5489794,0.6848248,-1.3798965,0.4371679,0.8677003,0.113995455,-0.7256555,1.155608,-0.61639696,-1.6223961,-0.2729831
107,3,MGS4,0.34624195,3.5800698,-1.2256913,1.9823761,1.5938845,-0.27008107,-1.4009663,-1.0111045,-0.15959516,1.187708,1.4158198,0.8120708,1.7331941,1.1601816,-0.86154455,-0.3607722
109,0,MGS1,0.9469574,0.17253035,1.4083762,-0.11456217,-0.8693237,-0.5718201,0.42708918,0.2976748,-0.9698399,0.92608994,1.0512803,-0.872219,-0.13746433,0.24890296,-2.106511,-0.6733979
110,2,MGS3,-0.31892496,-3.5190575,0.09699984,0.1201667,0.34042284,-1.3121018,0.79095626,1.8706183,-0.7390785,-0.7031986,0.32188582,-1.5337082,0.5125972,-0.09127511,-0.4226758,-1.0435842
