sample_id,mgs_level,z0,z1,z2,z3
253,MGS4,-0.057033975,1.1316189,-0.79483104,1.866451
270,MGS4,-0.40572515,1.3717898,-0.8733242,-0.09743862
272,MGS4,0.959352,1.6302187,-0.50602263,1.7482953
280,MGS4,1.2787813,1.487839,0.43066576,0.50109863
284,MGS4,-0.30352226,-0.1088551,1.2040602,0.934844
294,MGS4,-0.90868866,0.04146292,-1.4329746,1.2318716
300,MGS4,-0.6766492,0.97492516,-0.714895,0.7094001
302,MGS4,0.72518617,-0.37901694,1.0102984,-0.050260488
334,MGS4,-0.019550793,-0.93835986,-0.37483153,0.9037295
364,MGS4,-0.75341755,0.09172401,-1.3028071,1.0013429
383,MGS4,-0.73533744,-0.70764065,-0.58574915,-0.8746178
388,MGS4,-0.77789474,-0.2931552,0.13426274,0.30530208
397,MGS4,1.5369408,0.48796907,-0.38120785,0.35970223
403,MGS4,-0.8710671,-0.32454705,0.77394253,0.23948492
411,MGS4,0.5002266,0.47155568,-1.335473,1.2515082
416,MGS4,0.9506606,0.005235249,-0.23888025,1.7174916
417,MGS4,1.7899579,-0.07713597,-0.51410306,0.36574808
419,MGS4,0.4691151,-0.30702478,-0.3041709,1.641386
420,MGS4,0.50809515,1.4076769,-1.1197073,2.1053555
428,MGS4,0.11580637,0.48557678,-1.6568333,1.7247682
437,MGS4,0.04873992,1.5881447,-1.3661301,1.0678709
451,MGS4,-0.49645504,-0.9632387,0.27082387,0.21094581
459,MGS4,-0.500461,1.0568571,-1.3674995,0.27666286
473,MGS4,0.61727464,-0.75694895,0.004433056,0.30966586
477,MGS4,0.7271474,-0.63862497,0.6650973,0.39452127
484,MGS4,-0.24756508,0.6999463,-1.0250552,0.8579653
497,MGS4,-0.22051121,0.4869395,-1.0288061,1.0212576
509,MGS4,-0.62693226,1.7959653,-0.8380883,-0.053562026
515,MGS4,-0.6065856,0.2609426,-1.2218233,1.2087514
516,MGS4,-0.20623201,-0.879027,-0.19912717,1.1085653
521,MGS4,-0.48407188,0.6015821,-1.0295192,1.7554438
523,MGS4,-0.58670247,-0.79734385,0.27007428,1.4363
