"gene_ENSG","frequency"
"SET",1
"SETD2",1
"SETX",1
"SF3A1",1
"SF3A3",1
"SF3B3",1
"SFXN1",1
"SGPL1",1
"SGSM2",1
"SH3BP5L",1
"SH3GLB2",1
"SHPRH",1
"SHTN1",1
"SIDT2",1
"SIK2",1
"SIPA1L1",1
"SKIV2L2",1
"SKP1",1
"SLAIN2",1
"SLC12A5",1
"SLC25A13",1
"SLC25A28",1
"SLC25A37",1
"SLC25A44",1
"SLC25A51",1
"SLC30A5",1
"SLC30A9",1
"SLC35B1",1
"SLC35F1",1
"SLC39A13",1
"SLC39A6",1
"SLC41A3",1
"SLC48A1",1
"SLC8A1",1
"SLMAP",1
"SLTM",1
"SMAD4",1
"SMARCA4",1
"SMARCA5",1
"SMARCD3",1
"SMCHD1",1
"SMG6",1
"SMG7",1
"SMIM7",1
"SMYD2",1
"SNAP29",1
"SNAP91",1
"SNRK",1
"SNRNP70",1
"SNRPD3",1
"SNX1",1
"SNX3",1
"SNX30",1
"SNX5",1
"SOCS4",1
"SOS1",1
"SOS2",1
"SPATA6",1
"SPCS1",1
"SPCS2",1
"SPG20",1
"SPRYD4",1
"SREK1IP1",1
"SRGAP2",1
"SRP54",1
"SRPRA",1
"SRSF11",1
"SRSF4",1
"SRSF8",1
"SSB",1
"SSBP3",1
"SSR4",1
"SSU72",1
"ST7",1
"STAG2",1
"STAMBP",1
"STAU1",1
"STIM2",1
"STK25",1
"STRAP",1
"STRN3",1
"STUB1",1
"STX12",1
"STX16",1
"STX1B",1
"STX3",1
"SUB1",1
"SUCO",1
"SUMO2",1
"SUMO3",1
"SUN2",1
"SUZ12",1
"SYNGR1",1
"SYNJ2BP",1
"SYNRG",1
"SYT11",1
"SYT9",1
"TAB3",1
"TACO1",1
"TAF11",1
"TAOK1",1
"TARS2",1
"TBC1D14",1
"TBC1D15",1
"TBC1D30",1
"TBC1D9",1
"TBC1D9B",1
"TBCB",1
"TBRG1",1
"TBRG4",1
"TCEA2",1
"TCF12",1
"TCF4",1
"TCOF1",1
"TDRD7",1
"TDRP",1
"TERF2",1
"TFIP11",1
"TGFBRAP1",1
"THADA",1
"THOP1",1
"THSD7A",1
"TIMM17A",1
"TLK2",1
"TM9SF2",1
"TM9SF3",1
"TMCO1",1
"TMEM131",1
"TMEM132A",1
"TMEM147",1
"TMEM170B",1
"TMEM184B",1
"TMEM199",1
"TMEM200A",1
"TMEM214",1
"TMEM215",1
"TMEM35A",1
"TMEM68",1
"TMEM87A",1
"TMEM9",1
"TMEM94",1
"TMPO",1
"TMTC2",1
"TNK2",1
"TNPO2",1
"TNPO3",1
"TOMM22",1
"TOMM5",1
"TOMM6",1
"TOMM7",1
"TOX4",1
"TRAF7",1
"TRAM1",1
"TRAPPC12",1
"TRAPPC8",1
"TRIM39",1
"TRIM8",1
"TROVE2",1
"TSC22D1",1
"TSTD2",1
"TTBK2",1
"TTC33",1
"TTC7B",1
"TTI1",1
"TUB",1
"TUBG2",1
