,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
163,-0.10389372,0.16379546,0.35210508,-0.279827,0.32590142,-0.11305666,-0.5491973,0.3109336,-0.17654432,-0.081102915,-0.021288889,0.007594241,0.20583813,-0.3305045,0.025422933,-0.38822454,0.17149416,0.20983592,0.8997807,-0.2983231,0.19744499,0.7975347,0.8869363,0.6419673,-0.29538992,0.048291937,-0.7231244,1.1901082,-0.22165214,-0.25835666,-0.15966175,1.4347646
172,-0.31811717,-0.39504534,-0.3115582,0.18385693,-0.55652535,-0.6403882,0.306554,0.16153963,-0.31169686,0.6831953,0.13672106,-0.58686626,-0.41092712,-0.3760239,-0.06760008,0.47840977,-0.19305326,-0.7443046,0.78208643,0.084923245,0.22905238,0.28125077,0.67923784,0.48571217,-0.6280984,-0.2731602,-0.5992707,0.07992584,0.117440954,-0.5077676,-0.025902955,-0.35242155
173,0.17588757,-0.68300813,0.8770211,-0.25355265,0.28237063,0.3155462,0.48488373,0.41964278,-0.06764399,0.43475688,0.31921607,-0.18394653,0.15084428,0.15859665,-0.24101487,0.16061097,-0.5238421,-0.25892666,0.6389055,-0.30429393,0.35862598,0.2247838,0.53875005,0.13686323,-0.28205878,0.27849916,-0.40496844,-0.32212338,-0.14592722,-0.2758821,-0.031316653,-0.1029604
177,-0.23007259,-0.86297524,0.51910925,-0.16953947,-0.51760787,-0.2984863,0.58575493,0.19886643,-0.27350938,0.01691942,-0.19243895,-0.2513868,0.5000873,0.37314197,0.6542606,-0.030229619,-0.057985436,0.1521166,-0.1454901,0.15830703,0.17656472,0.058018,-0.057347957,0.75112605,0.2412594,0.06714529,-0.24027213,0.3734154,0.54041535,-0.5130557,0.103835575,0.7502886
178,-0.40758172,-0.1974884,0.65016246,-0.16766633,-0.08522475,-0.22071919,0.21794106,-0.2007858,0.22687459,0.10525204,1.0503452,-0.62885743,0.026755296,-0.75915724,-0.62836325,0.0019756395,0.5492323,-0.39237824,0.19675617,0.13866255,0.00065611437,-0.067027025,1.329923,-0.18287604,0.6653997,-0.050172932,0.1087127,0.18784255,-0.20344873,0.48442462,-0.2267463,-0.35551363
189,-0.69928914,-0.39483482,-0.2184981,-0.39929798,0.097103685,-0.17570852,0.17100129,-0.016413994,0.5064802,0.32517695,-0.3945667,-0.9453624,-0.049723044,0.32348588,0.3160785,-0.462103,0.14328949,-0.009931841,0.20690194,0.44111872,-0.043837167,0.53382355,0.3431889,0.6406917,-0.13121228,1.1441137,0.03366242,-0.21659799,-0.3395693,-0.42783955,-0.24841006,1.0803931
198,-0.71736854,0.593895,0.061908863,-0.057011373,0.4020472,-0.36288464,0.69749844,0.7684089,-0.7378339,-0.29401517,-0.3411228,-0.55098015,-0.16523887,-0.68897134,-0.6557874,0.08212236,0.03150434,0.46238077,-0.94132954,-0.031775024,0.5944083,0.53215814,0.1049822,0.026717708,0.27895236,0.7423751,-0.27788806,0.06883171,0.25994343,-0.24115558,0.060113307,0.061574277
203,-0.5303736,-0.4226689,0.37273568,0.10334281,-0.26359823,-0.47024322,0.11403408,0.37093958,0.11826943,0.093079545,0.15134194,-0.7204163,-0.1513726,-0.5579582,-0.6231722,0.7792039,0.56446534,-0.753486,0.23225507,0.28839308,0.40214124,-0.23736902,1.1862563,0.1383201,0.5220098,0.7204772,0.30978134,-0.21168236,0.3284054,0.13883118,0.1153705,-0.31594232
209,0.1555578,0.013146153,0.64854825,-0.32305878,0.62202734,-0.058488246,0.42204073,0.5269693,0.0141207045,-0.27597776,0.42367846,-0.073428,-0.16761164,-0.68033665,0.13874716,0.24821477,-0.017167987,0.32186398,-0.3326529,-0.20826602,0.3871631,-0.29034692,0.43108773,0.30828092,0.95085496,-0.53513443,-0.35277,0.2725067,0.2392446,-0.63706124,-0.64779025,0.6947661
217,-0.08714896,-0.62368244,-0.05829308,0.5050656,0.13485138,-0.24170555,0.3110061,0.3802798,-0.16463324,-0.05188932,-0.14957608,-0.20893097,0.16611914,0.037419908,-0.5877159,0.11416003,0.056959543,-0.4084409,0.7792475,0.49087036,0.30553728,0.7461285,0.12107979,0.29094046,-0.7495062,-0.035784584,-0.81565744,-0.027361032,0.025708951,0.07601182,-0.13409914,0.28688696
218,-0.5474547,-0.3911168,-0.017384442,0.6112143,-0.17246741,0.54354054,1.0853436,-0.19828235,-0.26160508,-0.30725247,-0.17662896,0.023949455,-0.24002409,-0.49912342,0.023501553,-0.28567693,0.2317482,0.6629722,0.27825454,0.028858183,0.28656635,0.23451732,0.25591394,0.21247149,-0.6119244,-0.2172697,-0.6125555,-0.16244061,0.76409924,0.34500536,-0.3668637,0.37023965
