patient_1,patient_2,weight
307,518,0.6802651122738137
95,246,0.6799767560586869
419,420,0.6799363891101227
173,384,0.6799224311579903
237,405,0.6795313673464447
413,518,0.6795160009703922
139,350,0.6794761636441541
316,319,0.6794681270926843
413,414,0.6794016422900193
32,178,0.6790814965918428
246,270,0.6788199792211442
120,376,0.6785952001845992
246,251,0.6784802325968583
413,499,0.6784642964465163
411,417,0.6784262836253414
420,428,0.6783454418337136
272,428,0.6776121044041958
6,386,0.6774131293282455
232,523,0.6773489170439891
18,396,0.677021156525272
379,396,0.6767228415913719
417,484,0.676347759480605
497,516,0.676297954833146
99,270,0.6762669502013463
43,218,0.6756125924692247
264,288,0.6749984979823578
95,394,0.674967605672775
319,480,0.6746331484713004
334,351,0.6744230922864114
228,292,0.6740638836047788
73,414,0.6737878155044107
81,223,0.6737656210965375
119,293,0.6737583081308556
284,477,0.6735909368999742
270,526,0.6732523233520813
294,308,0.6731670144931259
33,42,0.6731287364293609
60,150,0.6730205176282934
109,313,0.6730084990997995
145,322,0.6728509480450049
217,251,0.6726230137550758
198,396,0.6724288760076684
32,396,0.6724082470555358
142,466,0.6722163832343137
32,491,0.6720213482052955
293,321,0.6719721077387316
178,218,0.6714109718075096
125,302,0.6713176620985947
348,404,0.6712644623814402
47,73,0.6712599911127598
316,349,0.6712436894918188
160,484,0.6712231741307726
246,425,0.6712157715270155
157,405,0.670928738880398
142,415,0.6708470220538496
284,523,0.6707570358513593
377,404,0.6707020710484827
198,517,0.6706473556039314
316,356,0.6703661133798045
189,234,0.6702740120016638
125,272,0.6701488320732851
106,316,0.6699399852654123
428,497,0.6698327107106813
6,495,0.6697769465606025
218,355,0.6696271596550902
148,302,0.6689437678528587
280,506,0.6687950571068412
348,495,0.6687290934596285
160,294,0.6684102612853584
351,526,0.6680815884695125
116,320,0.6680731062762995
18,198,0.6678968721560847
32,95,0.6678057404327915
157,223,0.6675670035757875
94,490,0.6673640649289663
515,526,0.6673555229196343
415,491,0.6672904270252495
81,425,0.6671097916237737
81,315,0.6669937279436047
142,229,0.6668274384827557
349,352,0.6667896738399988
145,307,0.6664458523232795
42,397,0.6662957783879491
115,137,0.666003801281339
124,308,0.6659450582733495
94,315,0.6659312182856825
120,356,0.6658215178047999
115,189,0.6657101312191591
124,293,0.665567828857151
425,466,0.6655315582956522
292,425,0.6651814536805795
406,506,0.6651352882168233
94,116,0.6651102559962334
142,499,0.6649003219372734
320,495,0.6648280227193917
139,153,0.6647095644568088
89,315,0.6645220346053422
46,396,0.6645068944216396
406,451,0.6637743470294322
384,515,0.6636429925924479
313,518,0.6635766426007474
153,335,0.6632162055129945
397,417,0.6630393317921812
43,109,0.6629664465281857
47,116,0.6627276727260704
237,477,0.6626483942489338
377,466,0.6625658576732141
43,157,0.6625653369119859
32,270,0.6625352904054803
150,414,0.6624205107344059
292,377,0.6620476871986181
224,414,0.6618919293585188
265,437,0.6618788397362703
33,491,0.6615446402811773
319,352,0.6610752703831746
428,473,0.6608340089089418
353,459,0.660833077794932
319,350,0.6604369161655426
198,266,0.6599949713031721
153,352,0.6599415047048505
218,307,0.6597873717782292
148,428,0.6597712101635564
42,160,0.6597503394529458
414,521,0.659242959360796
307,308,0.6592225632091236
148,150,0.6592174564836208
383,526,0.6589057805347667
406,501,0.6588815360440725
232,354,0.658873393431904
95,490,0.6588452495520675
46,417,0.6586904822437895
43,153,0.6584515270888561
237,265,0.658437837906868
351,406,0.6578617234575304
293,308,0.6577128167676347
209,284,0.6576737807987916
198,347,0.6573272708172935
437,517,0.6572417299255561
383,451,0.6570219045053514
35,415,0.6569737318006077
119,466,0.6568411860588201
293,375,0.6566997272558319
232,302,0.6566985522324668
95,198,0.6562148972871599
383,503,0.6561234726377334
228,466,0.6559985845001162
157,499,0.6558721357422987
286,335,0.6558640647071408
318,509,0.6558113184054991
35,404,0.6557903057239394
320,404,0.6557697806337317
386,506,0.6556224182817091
6,377,0.6555875591810902
163,484,0.6555564611302831
163,420,0.6554069142579357
42,416,0.6551905122146361
11,452,0.6550660475864017
288,320,0.6550332882871742
99,251,0.6548530665458421
406,473,0.6545122533637683
46,419,0.6541177111129219
319,324,0.6539606552662485
46,251,0.6539303817772333
302,376,0.6535914290157748
228,264,0.6535096481403961
41,94,0.653441479597146
177,265,0.6533807117482231
249,335,0.6533618261818412
490,495,0.6532537168226761
314,324,0.653240374697803
246,377,0.6531777623742986
284,480,0.6530515350093952
272,414,0.6528288758769494
109,295,0.6525066475480195
120,499,0.6524091530314315
286,466,0.6518864491352685
437,509,0.6518478329937278
81,153,0.6516491315900628
264,315,0.6515171842760445
384,459,0.6514711600917626
145,348,0.6514382831133538
293,347,0.6506379317446533
406,417,0.6505364520108954
157,517,0.6501883301311695
224,264,0.6501263263394358
142,404,0.6498510413264427
253,516,0.649841613117043
124,526,0.6498351487596473
253,428,0.6497656416205642
288,506,0.6495422442528
356,388,0.649108550047764
232,526,0.6491023205923494
226,353,0.6488991740158252
351,354,0.6488689597259826
35,223,0.6488609938332351
133,384,0.6487947975562134
253,523,0.6485449880116159
35,142,0.6484995059113936
379,447,0.6484615752865803
126,137,0.648317328836668
9,466,0.6482960499995134
120,518,0.6482071534036095
148,414,0.6481759858244902
73,253,0.6481421799961454
99,117,0.6480925010750067
33,416,0.6478953637571194
116,229,0.6472082803864693
355,356,0.6470451651261433
334,406,0.6464817891450403
43,389,0.64628126586855
32,249,0.6460939908806863
145,189,0.6458973067154339
351,480,0.645429245258476
60,95,0.6454025042229584
198,468,0.645288116731262
133,293,0.6451523251587786
354,452,0.6451232548551455
47,264,0.644848477636273
116,311,0.6448143903596777
47,157,0.6446358534782952
349,350,0.6445394894132583
33,417,0.644510147115458
224,406,0.644461045215289
501,506,0.6442502506702792
324,349,0.6442121291456948
356,413,0.6440277420729952
272,284,0.6439226961029543
376,480,0.6439143003301936
109,120,0.6438220892595201
47,94,0.6436980179530284
294,354,0.6435191520882083
228,318,0.6434994059833563
394,396,0.6429519252011866
203,411,0.6429432475583466
178,286,0.642843650362046
294,384,0.6427665127813604
6,106,0.6426596028843321
89,490,0.6425889592567473
2,377,0.6420953937190316
396,397,0.6420341389286517
153,292,0.6419265805819321
153,318,0.6418961385508805
107,376,0.6417151405184431
232,265,0.6416268171499564
6,319,0.6416163810300493
42,46,0.6416022508588546
17,251,0.6415627883045747
149,501,0.6414272377860268
35,517,0.640753113236334
120,272,0.6407107969787276
224,253,0.6404900302086239
228,364,0.640319234572438
272,413,0.640284443384913
272,376,0.6398189061387518
73,437,0.6396807927422521
125,264,0.6394327764434913
137,266,0.6392059002672978
119,124,0.6391938239273625
228,288,0.6387020127358787
375,526,0.6384481281717007
292,506,0.6383607035510784
120,148,0.637938386906118
162,229,0.6377638932870454
209,376,0.6370624181929109
272,416,0.6369380409080221
224,354,0.6367437574459212
384,406,0.6365682890143329
383,480,0.6365474001645826
120,284,0.6364748400285837
324,356,0.636359184244762
228,320,0.636095665804939
35,254,0.6357679364667728
224,265,0.6355298098071145
35,81,0.6353037769146551
203,473,0.6352992041836882
149,490,0.6352161317448577
354,516,0.6351819291329033
32,33,0.6346086512468267
228,377,0.6341926327245865
2,106,0.6341623223667856
109,288,0.6340245776130529
264,516,0.6338720730917032
163,451,0.6338434667426586
94,157,0.6337782086699029
317,383,0.6334917239818791
253,452,0.6332726231964964
291,506,0.6330198824205848
253,521,0.6329714197725491
133,203,0.6323668152018647
265,415,0.6320853757288187
313,403,0.6318443734903739
265,447,0.6317644061533645
95,491,0.6307206625722634
237,411,0.6300949691221438
163,405,0.6297315719107054
4,286,0.6292714043990795
313,388,0.6291565033182351
117,490,0.6287583037387778
2,324,0.628747169799732
119,509,0.6282718662743998
33,397,0.6279730063415467
17,517,0.6279296791781225
308,375,0.6277122322318225
356,376,0.6276355716865751
162,466,0.6275209503396479
246,286,0.6269250968993864
315,320,0.6268465038791465
120,209,0.6268076204493955
178,249,0.6267948395795726
203,523,0.6265462853923384
253,515,0.6264719598459543
163,270,0.626068549123926
17,35,0.6259601528746713
107,480,0.6258953931318954
249,352,0.6255716301591048
81,501,0.6253338875255596
223,491,0.6253279276972343
117,124,0.6247247250711325
149,162,0.6244025718719975
