"gene","frequency"
"CBR4",2
"CCDC141",2
"CCDC3",2
"CCDC58",2
"CCM2",2
"CCNT1",2
"CD81",2
"CDC37",2
"CDC42",2
"CDH4",2
"CDK14",2
"CHCHD10",2
"CHD5",2
"CHIC1",2
"CHRNB2",2
"CIZ1",2
"CLCN7",2
"CLPP",2
"CLPTM1",2
"CLU",2
"CMB9-22P13.1",2
"COLGALT1",2
"COQ7",2
"COQ9",2
"CORO7",2
"COX11",2
"CPEB1-AS1",2
"CPNE6",2
"CPSF3L",2
"CRB2",2
"CSNK1G3",2
"CTB-25B13.12",2
"CTD-3138B18.5",2
"CTSD",2
"CTTNBP2",2
"CXXC4",2
"CYB5R3",2
"D2HGDH",2
"DAPK3",2
"DCAF1",2
"DDX46",2
"DDX49",2
"DEK",2
"DHDDS",2
"DHRS4L2",2
"DHX36",2
"DHX38",2
"DIMT1",2
"DMTN",2
"DNAJA1",2
"DNAJB4",2
"DNAJC13",2
"DNAJC21",2
"DNTTIP1",2
"DPH3",2
"DSCAM",2
"DYNC2H1",2
"DYNLRB1",2
"EEF1A2",2
"EEF1D",2
"ELK4",2
"ELN",2
"ELOVL5",2
"ERBIN",2
"ERCC2",2
"ERO1A",2
"ESPN",2
"ESRRA",2
"ETNK1",2
"EWSR1",2
"EXOC3",2
"FAM106A",2
"FAM122B",2
"FAM131B",2
"FAM160A2",2
"FAM161A",2
"FAM171B",2
"FAM3A",2
"FAM57B",2
"FAM65A",2
"FAM73A",2
"FASTK",2
"FBXL20",2
"FGD4",2
"FKBP8",2
"FLT1",2
"FZD5",2
"GAA",2
"GAB1",2
"GABRG2",2
"GABRG3",2
"GAS6-AS2",2
"GBA",2
"GCSH",2
"GIN1",2
"GIT1",2
"GLT8D1",2
"GNAI3",2
"GNG2",2
"GOLGA2",2
"GPANK1",2
"GPLD1",2
"GPR137",2
"GPR179",2
"GPRC5B",2
"GPS1",2
"GPSM1",2
"GPX1",2
"GRIA4",2
"GRINA",2
"GRK2",2
"GRM8",2
"GSK3B",2
"GTF2IRD1",2
"H2AFJ",2
"HACD3",2
"HACE1",2
"HBEGF",2
"HCFC2",2
"HECTD3",2
"HEG1",2
"HERC3",2
"HGH1",2
"HGS",2
"HLA-DQA1",2
"HMG20A",2
"HMGB1",2
"HMGN3",2
"HNRNPA3",2
"HSD11B1L",2
"HSPA14",2
"IER5L",2
