"","row","col","weight"
"254","ENSG00000137841","ENSG00000077942",0.823080565609326
"255","ENSG00000234745","ENSG00000240065",0.822848872270596
"256","ENSG00000204287","ENSG00000135077",0.82244175343927
"257","ENSG00000198734","ENSG00000188488",0.822264821185238
"258","ENSG00000049323","ENSG00000079215",0.82201784604808
"259","ENSG00000169432","ENSG00000079215",0.821850316477318
"260","ENSG00000197712","ENSG00000079215",0.821841600587116
"261","ENSG00000182326","ENSG00000145431",0.821715897199354
"262","ENSG00000111783","ENSG00000134769",0.821668165590754
"263","ENSG00000135046","ENSG00000169432",0.821618321232631
"264","ENSG00000135077","ENSG00000171860",0.821328310545661
"265","ENSG00000132274","ENSG00000129675",0.821196371699236
"266","ENSG00000204252","ENSG00000140931",0.82116036980623
"267","ENSG00000174348","ENSG00000019582",0.821018849827432
"268","ENSG00000181804","ENSG00000138193",0.820674177526469
"269","ENSG00000180353","ENSG00000162511",0.820537534788196
"270","ENSG00000171860","ENSG00000155659",0.820338041201143
"271","ENSG00000205542","ENSG00000204472",0.820189303460196
"272","ENSG00000131095","ENSG00000135926",0.819846326586371
"273","ENSG00000181804","ENSG00000196569",0.819525339065767
"274","ENSG00000146592","ENSG00000049323",0.819374152283576
"275","ENSG00000198734","ENSG00000144810",0.818851738612689
"276","ENSG00000112936","ENSG00000069535",0.818374745517313
"277","ENSG00000153029","ENSG00000132840",0.818367189034524
"278","ENSG00000134516","ENSG00000198223",0.818362722246977
"279","ENSG00000196735","ENSG00000196126",0.818270578685704
"280","ENSG00000110092","ENSG00000140931",0.818171442096948
"281","ENSG00000167613","ENSG00000171860",0.818142226059943
"282","ENSG00000180638","ENSG00000137441",0.818004620310538
"283","ENSG00000197712","ENSG00000254087",0.817838594598749
"284","ENSG00000166927","ENSG00000110077",0.817713274932354
"285","ENSG00000019582","ENSG00000110324",0.817050587686084
"286","ENSG00000110324","ENSG00000137841",0.81686299686328
"287","ENSG00000111801","ENSG00000069535",0.816640710629653
"288","ENSG00000026297","ENSG00000162511",0.816349060397027
"289","ENSG00000132274","ENSG00000069535",0.815558863852056
"290","ENSG00000132274","ENSG00000131080",0.815205387153715
"291","ENSG00000180245","ENSG00000205403",0.814696232529541
"292","ENSG00000137573","ENSG00000079215",0.814137688868141
"293","ENSG00000206503","ENSG00000204525",0.813644740074818
"294","ENSG00000125730","ENSG00000095303",0.813479182165679
"295","ENSG00000204287","ENSG00000172243",0.813274763366055
"296","ENSG00000158714","ENSG00000204472",0.813230252319026
"297","ENSG00000165168","ENSG00000196664",0.813141507410385
"298","ENSG00000111783","ENSG00000148735",0.813129637248088
"299","ENSG00000204261","ENSG00000204264",0.813128237651842
"300","ENSG00000242574","ENSG00000204287",0.812516746277971
"301","ENSG00000069535","ENSG00000197712",0.812220147894847
"302","ENSG00000224389","ENSG00000275395",0.812195718948418
"303","ENSG00000125730","ENSG00000115107",0.81209151985692
"304","ENSG00000181804","ENSG00000073331",0.811693343889985
"305","ENSG00000019582","ENSG00000101336",0.811122397871042
"306","ENSG00000234745","ENSG00000168394",0.809313296495801
"307","ENSG00000129009","ENSG00000146122",0.809043665201747
"308","ENSG00000041982","ENSG00000144810",0.808829804216641
"309","ENSG00000082074","ENSG00000106066",0.808338598551652
"310","ENSG00000187210","ENSG00000116183",0.808259595669663
"311","ENSG00000205542","ENSG00000022267",0.80741736679967
"312","ENSG00000153029","ENSG00000100196",0.807274369734236
"313","ENSG00000129675","ENSG00000107798",0.80681875514601
"314","ENSG00000132274","ENSG00000164237",0.80680499353361
"315","ENSG00000135046","ENSG00000196569",0.806499409549389
"316","ENSG00000275395","ENSG00000104972",0.806077985617043
"317","ENSG00000153029","ENSG00000158270",0.805201586281824
"318","ENSG00000162511","ENSG00000155659",0.804578576412038
"319","ENSG00000206337","ENSG00000166710",0.804372371240103
"320","ENSG00000111801","ENSG00000153029",0.803813979650795
"321","ENSG00000159403","ENSG00000100979",0.80379408566423
"322","ENSG00000240065","ENSG00000204642",0.803653438859299
"323","ENSG00000182326","ENSG00000116132",0.803341284945518
"324","ENSG00000204287","ENSG00000166927",0.802868511859728
"325","ENSG00000112936","ENSG00000113924",0.802849055183582
"326","ENSG00000164761","ENSG00000249306",0.802759319785426
"327","ENSG00000146592","ENSG00000079215",0.802088215718246
"328","ENSG00000162511","ENSG00000127507",0.801994678813166
"329","ENSG00000204287","ENSG00000158714",0.801863295955971
"330","ENSG00000174348","ENSG00000224389",0.80108427570416
"331","ENSG00000167613","ENSG00000180353",0.800940087697134
"332","ENSG00000111801","ENSG00000026950",0.800592988608757
"333","ENSG00000155926","ENSG00000143226",0.800299173942691
"334","ENSG00000113578","ENSG00000254087",0.799726835875684
"335","ENSG00000164761","ENSG00000083857",0.799726481030733
"336","ENSG00000242574","ENSG00000134516",0.799607822876814
